name,neighbors,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,pets,religion,smokes,speaks,linear classifier
Laure Sasnett,"{949: 0.5438314043743837, 853: 0.0, 318: 1.0, 797: 1.0, 874: 0.0, 737: 0.0, 992: 0.0, 417: 1.0, 183: 0.8218756451871965, 729: 1.0, 136: 0.0, 46: 0.0, 55: 0.0, 117: 1.0, 164: 0.0, 182: 0.83514099790826, 309: 0.20273211745138653, 328: 1.0, 477: 1.0, 688: 1.0, 735: 0.0, 843: 0.0, 857: 0.0, 985: 0.5815339826277306, 996: 1.0, 1001: 1}",22,single,m,straight,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75.0,-1,transportation,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,sometimes,english,Linear Classifiers/465.joblib
Sissy Suanne,"{528: 0.0, 394: 0.0, 912: 1.0, 98: 0.0, 583: 0.0, 620: 1.0, 837: 0.0, 537: 1.0, 282: 0.5171790404052752, 50: 1.0, 68: 0.0, 550: 0.0, 470: 1.0, 8: 1.0, 667: 0.0, 237: 0.2910678468172625, 295: 0.0, 112: 1.0, 145: 1.0, 292: 1.0, 433: 0.0, 467: 1.0, 491: 0.6513758079403447, 631: 0.0, 784: 0.0, 976: 1.0}",35,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70.0,80000,hospitality / travel,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,no,"english (fluently), spanish (poorly), french (poorly)",Linear Classifiers/163.joblib
Desirae Brian,"{318: 0.0, 401: 0.5387437671836048, 706: 0.5353622681357844, 175: 0.0, 733: 0.1989846766558534, 568: 0.80703882095407, 200: 1.0, 845: 0.856904216613362, 674: 0.6338497358431523, 762: 0.19788837423158423, 42: 0.3306355028929491, 524: 0.0, 68: 1.0, 208: 0.0, 93: 0.0, 155: 0.0, 183: 1.0, 189: 0.6565346584496248, 195: 0.6684090926893367, 246: 1.0, 291: 0.5921413119425267, 392: 0.3319010683016437, 432: 1.0, 463: 0.8731815107855581, 472: 0.0, 502: 1.0, 538: 0.03818733026593524, 551: 1.0, 556: 0.0, 578: 0.39306419992391417, 692: 1.0, 761: 0.6408851600326235, 766: 0.0, 878: 0.40888666780259886, 918: 1.0}",38,available,m,straight,thin,anything,socially,,graduated from masters program,,68.0,-1,,,has cats,,no,"english, french, c++",Linear Classifiers/744.joblib
Jsandye Alfons,"{29: 0.1625016784819957, 692: 0.6594748654041149, 614: 0.40124135729198773, 47: 0.0, 726: 0.0, 258: 0.4072242355208511, 473: 1.0, 834: 1.0, 176: 0.0, 481: 0.0, 375: 1.0, 994: 0.7502087709216605, 9: 0.0, 15: 0.6682301389196752, 105: 0.311170452157536, 343: 0.5241772575356265, 397: 0.9571635101318572, 407: 0.6751522880445355, 448: 1.0, 464: 0.0, 739: 0.5826929717701228, 781: 0.0, 908: 0.4394406864064173}",23,single,m,straight,thin,vegetarian,socially,,working on college/university,white,71.0,20000,student,doesn't want kids,likes cats,,no,"english, german (poorly)",Linear Classifiers/844.joblib
Leanna Merat,"{311: 0.9709818672315895, 801: 0.22030305459046295, 909: 0.0, 738: 1.0, 203: 0.0, 463: 1.0, 647: 0.0, 673: 0.0, 4: 0.0, 64: 0.051197890325137774, 264: 0.2742148695097628, 930: 0.41738370731850605, 321: 0.11154755224628388, 492: 1.0, 972: 0.17553712848263148, 529: 0.5584210511073044, 845: 0.0, 833: 0.5055862007945044, 313: 0.4576547416662453, 520: 0.04192816517539444, 587: 0.27956399697801904, 696: 0.8262298013560703, 730: 0.13759907534100124, 774: 0.30605990331363775, 921: 0.9372451459489899}",29,single,m,straight,athletic,,socially,never,graduated from college/university,"asian, black, other",66.0,-1,artistic / musical / writer,,likes dogs and likes cats,,no,english,Linear Classifiers/384.joblib
Amelia Ortrude,"{969: 0.0, 308: 0.0, 756: 1.0, 751: 1.0, 735: 0.0, 532: 0.0, 178: 0.0, 310: 0.0, 53: 0.0, 7: 0.9561584445215239, 714: 0.0, 899: 0.0, 917: 0.0, 16: 0.8127195160117218, 992: 1.0, 569: 1.0, 930: 1.0, 733: 0.27203668978172857, 449: 0.8874817337563119, 230: 0.0, 233: 0.0, 376: 1.0, 411: 0.0, 560: 0.0, 711: 1.0, 725: 1.0, 734: 0.0, 781: 0.20481456227730632, 886: 0.0, 902: 0.0, 904: 0.011905906535551125, 982: 0.612441744858895}",29,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,67.0,-1,computer / hardware / software,"doesn't have kids, but might want them",likes cats,atheism,no,"english (fluently), chinese (okay)",Linear Classifiers/144.joblib
Amelia Zola,"{344: 0.0, 326: 0.05095641800186401, 348: 1.0, 74: 1.0, 929: 0.0, 401: 0.24142973408572121, 708: 1.0, 465: 0.0, 340: 0.7280921239444589, 29: 0.11498417007190076, 341: 0.0, 249: 0.0, 655: 0.0, 616: 0.029552770563942232, 647: 0.47258292230465315, 388: 0.0, 329: 0.6020743757181912, 24: 0.0, 31: 0.3892233784527952, 97: 0.1934934260929566, 112: 0.8533861021047908, 116: 0.72354025458703, 172: 1.0, 212: 0.257547853180633, 333: 1.0, 402: 0.9634545050437349, 405: 0.6075961478482381, 627: 0.0, 678: 0.0, 684: 0.8801895211636537, 804: 0.040678519330608065, 886: 0.4854710578981596, 910: 1.0, 911: 0.13778666691936037, 943: 0.13638362305607998}",32,single,f,straight,fit,strictly anything,socially,never,graduated from college/university,"white, other",65.0,-1,,,likes dogs and likes cats,,,english,Linear Classifiers/763.joblib
Layla Lay,"{32: 0.0, 262: 0.765370170960102, 591: 1.0, 782: 0.6732977997933691, 540: 1.0, 147: 0.6663021602203054, 804: 1.0, 615: 0.8226267707520476, 636: 0.5478358869905238, 21: 1.0, 630: 0.5544915911808879, 54: 0.7924555196212584, 370: 0.4635823003072339, 322: 1.0, 190: 0.0, 698: 0.6051146960972265, 74: 0.014970664983578352, 33: 1.0, 89: 1.0, 828: 0.7961184426340377, 692: 0.16419405874643456, 842: 0.8341654995205463, 795: 0.10440326624702756, 5: 0.3375016392943797, 221: 0.4856468839024206, 460: 1.0, 611: 1.0, 861: 0.5851731299689611}",31,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,65.0,-1,artistic / musical / writer,"doesn't have kids, but wants them",likes dogs and likes cats,christianity,no,"english, spanish (okay)",Linear Classifiers/749.joblib
Frieda Gillan,"{190: 1.0, 383: 1.0, 380: 0.6901464042693819, 956: 1.0, 137: 0.5524275242555774, 912: 1.0, 825: 1.0, 410: 1.0, 820: 1.0, 1: 0.904936126857713, 14: 0.41674900280856786, 24: 1.0, 40: 0.8420310740515724, 62: 0.7825634956229877, 192: 0.0, 204: 0.42641051473764424, 291: 1.0, 307: 0.9374461326879509, 430: 1.0, 628: 0.9307603080056808, 915: 0.5148908129956906}",24,single,f,straight,,strictly anything,socially,,graduated from college/university,white,67.0,-1,,doesn't have kids,likes dogs and likes cats,christianity but not too serious about it,when drinking,english,Linear Classifiers/240.joblib
Elka Toni,"{339: 0.3271179940560076, 973: 0.0, 11: 0.0, 131: 0.6400714145691939, 981: 0.5383880810336077, 3: 0.0, 286: 0.5191915487992729, 227: 0.0, 908: 1.0, 932: 0.7571989634974781, 833: 0.0, 703: 1.0, 9: 0.4735811001723409, 816: 1.0, 26: 0.9155491683467938, 124: 1.0, 689: 0.0, 178: 0.6337898176444341, 980: 0.3208690981500535, 949: 1.0, 136: 0.0, 163: 0.6110353067566523, 293: 0.7376147755127089, 341: 0.0, 436: 0.1592584838509783, 438: 1.0, 477: 1.0, 518: 0.0, 524: 0.5565643579352635, 798: 0.4452529494634154, 804: 0.4010178811834333, 807: 0.19162863768203486, 950: 0.4391666685348561}",37,single,m,straight,athletic,mostly anything,not at all,never,working on two-year college,white,65.0,-1,student,,likes dogs and likes cats,atheism and laughing about it,no,english (fluently),Linear Classifiers/229.joblib
