name,neighbors,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,pets,religion,smokes,speaks,linear classifier
Laure Sasnett,"{56008: 0.6984826871538168, 11671: 1, 5760: 1, 14024: 0.03942415639368235, 35204: 0}",22,single,m,straight,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75.0,-1,transportation,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,sometimes,english,Linear Classifiers/3069.joblib
Sissy Suanne,"{55414: 1, 19028: 0, 34281: 1, 14360: 0, 46384: 1, 12286: 0, 33512: 0, 29250: 1, 35016: 1, 41684: 0, 26120: 0, 50093: 0, 54175: 0, 5896: 0, 24986: 0, 31178: 0, 23161: 0, 44713: 0, 25103: 0, 23237: 0, 18394: 0.6755376246380536, 58588: 0, 9211: 0, 42636: 1}",35,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70.0,80000,hospitality / travel,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,no,"english (fluently), spanish (poorly), french (poorly)",Linear Classifiers/43605.joblib
Desirae Brian,"{37720: 0.9350679555405286, 45552: 1, 2358: 0.7820958058379848, 39722: 0.37561736901761567, 15316: 1, 47882: 1, 31443: 0.1684590998283264, 33285: 1, 1414: 0.5589430860176838, 54583: 0.5424799384072845}",38,available,m,straight,thin,anything,socially,,graduated from masters program,,68.0,-1,,,has cats,,no,"english, french, c++",Linear Classifiers/37873.joblib
Jsandye Alfons,"{21162: 0.6205851499861279, 6161: 0.3504798357152248, 18102: 0.3084315159734743, 50787: 1, 23034: 0.7517461014336715, 43495: 0.4453461759732229, 30854: 0.6049240352282745}",23,single,m,straight,thin,vegetarian,socially,,working on college/university,white,71.0,20000,student,doesn't want kids,likes cats,,no,"english, german (poorly)",Linear Classifiers/10576.joblib
Leanna Merat,"{15413: 1, 44088: 1, 36540: 1, 55620: 1}",29,single,m,straight,athletic,,socially,never,graduated from college/university,"asian, black, other",66.0,-1,artistic / musical / writer,,likes dogs and likes cats,,no,english,Linear Classifiers/51328.joblib
Amelia Ortrude,"{8346: 0.7278372543738314, 3079: 0.7827520301664297, 32593: 1, 4361: 1, 17373: 1, 53457: 1, 50190: 1}",29,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,67.0,-1,computer / hardware / software,"doesn't have kids, but might want them",likes cats,atheism,no,"english (fluently), chinese (okay)",Linear Classifiers/39436.joblib
Amelia Zola,"{45060: 1, 20033: 1, 20883: 0.5253876506081081, 18805: 1, 8992: 0.9217839085850548, 37550: 1, 20275: 0.43387669925805916, 7335: 0.8257935733855035}",32,single,f,straight,fit,strictly anything,socially,never,graduated from college/university,"white, other",65.0,-1,,,likes dogs and likes cats,,,english,Linear Classifiers/46329.joblib
Layla Lay,"{13309: 0.2922845804070382, 33601: 0.5453434506941566, 4193: 0.6126427075167342, 4436: 0.5825300489916772, 5568: 1, 49495: 1, 19974: 0.2213256017568681, 17179: 1, 35971: 0, 7677: 0, 8346: 1, 59002: 1, 56024: 1, 4181: 0, 35197: 1, 32069: 1, 23814: 0.008141731456904555, 13868: 1, 27671: 0.6889289079406122, 7796: 1, 46812: 0.9355279590200358, 51024: 0, 30269: 0.9895562869622001}",31,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,65.0,-1,artistic / musical / writer,"doesn't have kids, but wants them",likes dogs and likes cats,christianity,no,"english, spanish (okay)",Linear Classifiers/57968.joblib
Frieda Gillan,"{57093: 1, 12137: 1, 33741: 1, 29651: 0, 26289: 1, 20390: 0.21727838954533318, 47081: 0.6066940599156094, 34923: 1, 58702: 0.18440884263771906, 23554: 0.4464466358162298, 18090: 0, 19342: 0, 26083: 0}",24,single,f,straight,,strictly anything,socially,,graduated from college/university,white,67.0,-1,,doesn't have kids,likes dogs and likes cats,christianity but not too serious about it,when drinking,english,Linear Classifiers/47372.joblib
Elka Toni,"{52953: 0.23925841509158086, 43608: 1, 13137: 1, 33146: 1, 28299: 0.1384394344551535, 11562: 0.8582867598234867, 14897: 0, 18810: 0.3968318354013048, 21070: 0.04169310824134681, 4550: 0.8241095085338699, 17394: 0.42775289944895656, 47636: 1, 11052: 0, 2729: 1, 49539: 0.13448382423983524, 52617: 0.4730337796154176, 1000: 1, 35105: 1, 18078: 0.20051041617813475, 29592: 1, 42470: 1, 19128: 0}",37,single,m,straight,athletic,mostly anything,not at all,never,working on two-year college,white,65.0,-1,student,,likes dogs and likes cats,atheism and laughing about it,no,english (fluently),Linear Classifiers/57701.joblib
Marnia Truc,"{19734: 1, 50783: 0.3672793396627938, 30243: 0, 11916: 0.18483130979158702, 29041: 0, 1538: 1, 45980: 0.6614540177710442, 21160: 1, 51023: 0.5163109886156629}",35,available,m,straight,average,mostly anything,socially,,,white,70.0,-1,,,,,yes,english,Linear Classifiers/55478.joblib
