name,neighbors,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,pets,religion,smokes,speaks,linear classifier
Laure Sasnett,"{386: 1, 457: 0.8587531610208412, 231: 0, 845: 0, 791: 0, 607: 0.7263884015591175, 825: 0.5023808858803527, 977: 1, 54: 0.5952406269814281, 138: 0, 175: 0.9764570177440408, 187: 1, 379: 0.19558913611854667, 405: 1, 444: 0, 551: 0, 712: 0.139842960777397, 814: 1, 829: 1, 962: 1}",22,single,m,straight,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75.0,-1,transportation,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,sometimes,english,Linear Classifiers/927.joblib
Sissy Suanne,"{994: 1, 145: 0, 929: 0.31882738583296977, 311: 0, 253: 0, 996: 0, 320: 1, 86: 0, 613: 0, 343: 0, 8: 0, 681: 0.09360305493850785, 769: 0, 17: 0, 72: 0, 619: 1, 933: 0, 130: 0, 610: 0.3191927702365973, 332: 0.25137168828003276, 648: 0, 816: 0, 51: 0, 212: 0.25531287113101264, 224: 0.5015922837639915, 350: 0.797468183660996, 355: 0, 598: 0, 729: 0.8718554823815783, 814: 1, 932: 0.2554992093767572, 972: 0.7338863154145097}",35,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70.0,80000,hospitality / travel,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,no,"english (fluently), spanish (poorly), french (poorly)",Linear Classifiers/380.joblib
Desirae Brian,"{816: 1, 644: 0.3404136813681402, 494: 0.9836256350715906, 721: 0, 398: 0.29648070690323547, 423: 0.19166213041651853, 10: 0.9934208298987237, 157: 0.710600192584483, 401: 0.9369110842312847, 516: 0.8889461332527311, 595: 0.20407857111189587, 641: 1, 776: 0.7490614306266118, 828: 0.391827188372752, 982: 0.7064350359839559}",38,available,m,straight,thin,anything,socially,,graduated from masters program,,68.0,-1,,,has cats,,no,"english, french, c++",Linear Classifiers/617.joblib
Jsandye Alfons,"{111: 1, 913: 0, 518: 1, 605: 0.657411452427116, 672: 0, 485: 0.4656017115376727, 912: 0.33904826756687534, 49: 0.7557938124074148, 423: 0.6583837360571998, 955: 0.5501191401267604, 214: 0.37435793830333175, 759: 0.735982632016678, 422: 0.28689306939007686, 739: 1, 383: 0.9636127244233448, 971: 0.025511143558231808, 208: 1, 155: 0, 157: 1, 84: 1, 544: 0.7740048156773058, 82: 0.2915591164625271, 439: 0, 576: 0.21603057352509403, 650: 0.9341545835489891, 691: 0.24615238985414845, 718: 0.5330526482466036, 863: 0.2596985425093328, 878: 0.016276865077034408}",23,single,m,straight,thin,vegetarian,socially,,working on college/university,white,71.0,20000,student,doesn't want kids,likes cats,,no,"english, german (poorly)",Linear Classifiers/312.joblib
Leanna Merat,"{72: 0.37346491742426136, 526: 0.838921822417192, 623: 0.49301096296860825, 916: 1, 514: 0.8418004292753501, 575: 0.06129624105941728, 743: 0.568279358684329, 264: 0.1672838623608578, 142: 1, 159: 1, 942: 0, 760: 1, 723: 0.37881083293269124, 205: 0.3570157798636312, 667: 0.396077190817154, 422: 0.7683883761816909, 326: 1, 42: 1, 132: 0, 213: 0, 498: 0.9939894941616704, 533: 0.48340766944905134, 637: 0.19284448563796042, 650: 0.6825882839615885, 693: 0.6348575053287432, 730: 0.4883725714767432, 784: 0.9215261299655396, 829: 0.6217169744278259, 914: 0.13734525250868795}",29,single,m,straight,athletic,,socially,never,graduated from college/university,"asian, black, other",66.0,-1,artistic / musical / writer,,likes dogs and likes cats,,no,english,Linear Classifiers/856.joblib
Amelia Ortrude,"{867: 1, 33: 0.20862216476025575, 945: 0, 679: 0.14090268426126062, 32: 0.7913317584962027, 90: 0.7659732747360675, 313: 0.28283186204145316, 355: 0.18209874343069865, 396: 0.7411240578789782, 513: 0.844776457607233, 532: 0.42076527524253304, 659: 0, 729: 0.17581841279965893, 742: 0.6235391920878453, 808: 0.6419698579054693, 885: 0.8967139422437622, 971: 0.7211943559424672}",29,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,67.0,-1,computer / hardware / software,"doesn't have kids, but might want them",likes cats,atheism,no,"english (fluently), chinese (okay)",Linear Classifiers/41.joblib
Amelia Zola,"{94: 0, 91: 0, 407: 0.508211697102193, 47: 0, 142: 0, 27: 0.3901949391767747, 953: 0.8115115372804933, 77: 0, 675: 0.8178145011767404, 773: 0.7686420015880389, 204: 0.028188895583403095, 26: 0, 302: 0.1626300086272643, 298: 1, 800: 0.09008679668108144, 348: 1, 642: 0, 974: 0.4610332123049705, 633: 0, 92: 0.5813072337272418, 165: 0.15162840250106058, 199: 1, 293: 0.4656660033912061, 459: 0, 632: 0, 975: 0}",32,single,f,straight,fit,strictly anything,socially,never,graduated from college/university,"white, other",65.0,-1,,,likes dogs and likes cats,,,english,Linear Classifiers/209.joblib
Layla Lay,"{151: 0.18722236415094962, 509: 1, 616: 1, 519: 0, 870: 1, 77: 1, 126: 1, 137: 0, 282: 0.5058438616619387, 399: 1, 511: 0.7331251244562669, 546: 0, 562: 0, 644: 1, 685: 1, 809: 1, 810: 0.981098239036541, 981: 0.5545518846486459}",31,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,65.0,-1,artistic / musical / writer,"doesn't have kids, but wants them",likes dogs and likes cats,christianity,no,"english, spanish (okay)",Linear Classifiers/334.joblib
Frieda Gillan,"{287: 0.26886610049817383, 1: 0.4986850361275783, 245: 0.27121969679376345, 444: 0.6756994295712806, 589: 0.9762181841709552, 648: 0.6176469165144569, 895: 0.46941886080339934, 977: 0.2411494005943262}",24,single,f,straight,,strictly anything,socially,,graduated from college/university,white,67.0,-1,,doesn't have kids,likes dogs and likes cats,christianity but not too serious about it,when drinking,english,Linear Classifiers/392.joblib
Elka Toni,"{969: 0, 875: 1, 768: 1, 55: 0.008068085480243958, 998: 0.05315185761179564, 191: 0.4684840202117485, 508: 0.14805692454161867, 169: 0, 164: 1, 101: 0.17255149740554587, 290: 0, 32: 0.19436659050829286, 855: 0.518983268894932, 923: 0.03512635715224932, 407: 1, 728: 0.9970705042790647, 680: 0, 365: 1, 62: 0.6953406338732953, 161: 0, 276: 1, 477: 1, 679: 0, 919: 0.8605619571919809, 967: 1}",37,single,m,straight,athletic,mostly anything,not at all,never,working on two-year college,white,65.0,-1,student,,likes dogs and likes cats,atheism and laughing about it,no,english (fluently),Linear Classifiers/808.joblib
Marnia Truc,"{900: 0.0667729773869592, 921: 0.0076770420814566975, 72: 0, 382: 0.8741243074922282, 454: 1, 954: 0.589541434056915, 907: 0.7366578410544076, 118: 1, 19: 1, 989: 1, 734: 0.183220963363377, 739: 1, 56: 1, 862: 0.580567120584603, 936: 0.7172511626708644, 397: 0.1624393908389239, 2: 0.3566981884259883, 775: 0.871258652041468, 555: 0, 812: 0, 264: 1, 329: 0, 362: 0.5316149894682929, 527: 1, 530: 0, 532: 1, 714: 0.1763076581962224, 715: 0.2803137455577662, 748: 0.8091546997110362, 770: 0, 874: 0.5743656195321152}",35,available,m,straight,average,mostly anything,socially,,,white,70.0,-1,,,,,yes,english,Linear Classifiers/566.joblib
Ethel Ethban,"{693: 0.9483320371037216, 85: 1, 128: 1, 165: 0.12620497149254284, 167: 0, 311: 0, 316: 0, 402: 0, 404: 0, 467: 0.4328288773993165, 477: 0, 482: 0.3808059945682274, 558: 0, 567: 0.4077405505433447, 569: 0, 687: 0, 748: 1, 778: 0, 982: 0}",28,seeing someone,m,straight,average,mostly anything,socially,never,graduated from college/university,white,72.0,40000,banking / financial / real estate,,likes cats,christianity and very serious about it,no,"english (fluently), sign language (poorly)",Linear Classifiers/194.joblib
Gwyneth Halla,"{214: 0.24165352590947808, 245: 0.7655914390577214, 678: 0.4373085007085846, 492: 1, 156: 0, 274: 0, 456: 1, 591: 0.2511701661190324, 813: 0.052977159984043176, 846: 0.07180939511363071, 904: 0.11109591275387043}",24,single,m,straight,,,often,,,white,72.0,-1,entertainment / media,doesn't have kids,,other,,english,Linear Classifiers/543.joblib
Valeda Beniamino,"{186: 0.2964818206153321, 17: 1, 178: 0, 197: 0, 252: 0, 278: 0, 293: 0.3572758645438885, 332: 0.6998271785147736, 444: 1, 544: 0, 599: 0.9137727755871232, 742: 1, 833: 1, 911: 0, 943: 1, 965: 0}",30,single,f,straight,skinny,mostly anything,socially,never,graduated from high school,white,66.0,30000,sales / marketing / biz dev,,has dogs and likes cats,christianity but not too serious about it,no,english,Linear Classifiers/613.joblib
Reeba Weaks,"{952: 0.9127215564045343, 975: 0.6600612497865317, 531: 0.6767301213015244, 666: 1, 643: 0.9243946365912716, 272: 0.5832054177520192, 735: 1, 391: 1, 610: 1, 566: 0.5386538237302894, 551: 0.22438539320325823, 565: 1, 538: 0.6030899034857526, 918: 0.22967259078515312, 966: 1, 216: 1, 237: 0.5839823644550872, 294: 0.919673554738436, 355: 0.967803609448314, 379: 1, 409: 0.5327285537480133, 644: 1, 741: 1, 784: 1}",29,single,f,straight,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62.0,50000,other,"doesn't have kids, but wants them",likes dogs and has cats,catholicism,no,english,Linear Classifiers/438.joblib
