name,neighbors,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,pets,religion,smokes,speaks,linear classifier
Laure Sasnett,"{106: 1.0, 818: 0.0, 802: 1.0, 870: 0.03627368724303359, 439: 1.0, 247: 1.0, 523: 0.5032380362781836, 521: 1.0, 829: 1.0, 772: 0.9523373310600691, 132: 0.0, 346: 1.0, 80: 1.0, 718: 1.0, 945: 0.0, 56: 1.0, 817: 1.0, 68: 0.0, 89: 1.0, 101: 0.15709677209216988, 107: 0.0, 149: 1.0, 195: 0.4761971578272801, 279: 1.0, 287: 0.8764716655923372, 556: 1.0, 567: 1.0, 574: 1.0, 588: 1.0, 680: 1.0, 693: 0.0, 753: 0.5606794135658371, 782: 0.0, 1002: 1}",22.0,single,m,straight,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75.0,-1.0,transportation,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,sometimes,english,Linear Classifiers 1k/321.joblib
Sissy Suanne,"{119: 0.2938940537905843, 13: 0.24311468571488248, 597: 1.0, 56: 0.32861862163915667, 483: 0.6040315451809146, 477: 1.0, 493: 0.0, 778: 0.898248820057006, 229: 1.0, 529: 0.3009332678896701, 894: 1.0, 624: 1.0, 608: 0.0, 657: 0.8463331661993774, 616: 1.0, 71: 1.0, 204: 0.5260058890100776, 244: 0.0, 246: 0.6177241408468479, 453: 0.0, 674: 0.0, 686: 0.15955389972018352, 687: 1.0, 704: 0.7794401639263082, 774: 0.9129252723860404, 829: 0.0, 835: 0.0, 847: 0.6118745711444014, 949: 0.38284332342400695, 979: 0.0}",35.0,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70.0,80000.0,hospitality / travel,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,no,"english (fluently), spanish (poorly), french (poorly)",Linear Classifiers 1k/51.joblib
Desirae Brian,"{2: 0.10763455409403822, 119: 0.0, 558: 0.04284580409345207, 876: 1.0, 196: 0.8048031637650572, 339: 0.0, 56: 0.0, 213: 0.0, 277: 0.16932065968152443, 491: 0.7485537427007696, 594: 0.12324455593186023, 681: 0.2687103051832995, 710: 0.8810979886561237, 713: 0.0, 788: 0.41885745549868325, 797: 0.4212247590457112, 879: 0.25185531910940107, 880: 0.03578205247381039}",38.0,available,m,straight,thin,anything,socially,,graduated from masters program,,68.0,-1.0,,,has cats,,no,"english, french, c++",Linear Classifiers 1k/643.joblib
Jsandye Alfons,"{324: 1.0, 73: 0.0, 353: 0.09875927198619694, 146: 0.0, 525: 0.840150107314984, 656: 1.0, 595: 0.8997227661056626, 260: 0.4190456962915894, 894: 1.0, 513: 0.0, 294: 1.0, 380: 0.733200977208559, 176: 0.7757871540834764, 320: 1.0, 207: 1.0, 707: 0.6864408506498583, 543: 0.7930537678538694, 750: 1.0, 880: 0.4683499339044861, 123: 1.0, 128: 1.0, 140: 1.0, 245: 0.41683979639495483, 256: 0.0, 343: 1.0, 581: 1.0}",23.0,single,m,straight,thin,vegetarian,socially,,working on college/university,white,71.0,20000.0,student,doesn't want kids,likes cats,,no,"english, german (poorly)",Linear Classifiers 1k/98.joblib
Leanna Merat,"{769: 0.0, 219: 0.34034210278086735, 215: 0.7392137539597854, 24: 1.0, 481: 0.49470722158158914, 820: 0.5885274677784902, 144: 0.0, 637: 0.34529678035579775, 796: 0.0, 932: 0.0, 525: 0.0, 96: 0.0, 568: 0.9606696553921645, 757: 1.0, 938: 0.0, 342: 1.0, 566: 0.11604607047440002, 675: 0.0, 778: 0.09027316953045994, 873: 0.14151538798865454, 110: 0.31148703519267856, 410: 0.17123244398806065, 453: 0.12771206690875442, 494: 1.0, 570: 1.0, 695: 0.0, 877: 1.0, 912: 1.0}",29.0,single,m,straight,athletic,,socially,never,graduated from college/university,"asian, black, other",66.0,-1.0,artistic / musical / writer,,likes dogs and likes cats,,no,english,Linear Classifiers 1k/821.joblib
Amelia Ortrude,"{334: 0.0, 1000: 0.14344854987152045, 154: 0.6570112785352621, 120: 0.27384747187021075, 759: 0.053003511175063966, 784: 0.0, 11: 0.9698230254389558, 27: 0.018951937402962638, 56: 0.7152915524684857, 93: 0.9275544851388654, 102: 1.0, 105: 0.0, 150: 0.0, 193: 0.0, 252: 0.0, 357: 0.0, 384: 0.10407706396088395, 497: 0.0, 498: 0.5310382728299681, 629: 0.5637699053547172, 681: 0.0, 862: 0.0, 976: 0.17426916410514143}",29.0,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,67.0,-1.0,computer / hardware / software,"doesn't have kids, but might want them",likes cats,atheism,no,"english (fluently), chinese (okay)",Linear Classifiers 1k/0.joblib
Amelia Zola,"{780: 0.0, 651: 1.0, 638: 0.0, 659: 1.0, 383: 0.0, 163: 1.0, 523: 0.0, 74: 1.0, 973: 1.0, 358: 1.0, 417: 1.0, 407: 0.0, 363: 0.0, 77: 0.0, 11: 0.0, 52: 1.0, 487: 0.27937423594135424, 506: 1.0, 527: 0.0, 591: 0.37282616145319025, 670: 0.0, 738: 0.0, 883: 0.048408293691615256, 923: 0.0}",32.0,single,f,straight,fit,strictly anything,socially,never,graduated from college/university,"white, other",65.0,-1.0,,,likes dogs and likes cats,,,english,Linear Classifiers 1k/855.joblib
Layla Lay,"{752: 0.0, 939: 0.0, 320: 1.0, 721: 0.1953255698981169, 696: 1.0, 110: 1.0, 261: 0.0, 977: 0.9656264180687807, 906: 0.7479861818615434, 348: 1.0, 140: 0.10415692326390502, 628: 0.6252824576287928, 926: 0.0, 73: 1.0, 96: 0.9081812695468966, 163: 1.0, 164: 0.0, 222: 0.9951580332310028, 306: 1.0, 315: 0.378760843050024, 384: 0.22384163915127986, 436: 1.0, 495: 0.0, 569: 0.0, 649: 0.9813451170250932, 673: 0.3656785782522378, 693: 1.0, 729: 0.7769071636558915, 787: 0.6588111920152049, 829: 0.7914119226836615}",31.0,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,65.0,-1.0,artistic / musical / writer,"doesn't have kids, but wants them",likes dogs and likes cats,christianity,no,"english, spanish (okay)",Linear Classifiers 1k/131.joblib
Frieda Gillan,"{688: 0.7221991152348659, 651: 0.6901987848687465, 589: 0.8271843269248729, 501: 0.1858893941172779, 547: 0.823618377342854, 305: 0.7486119491720196, 122: 0.8186108813006561, 145: 1.0, 189: 0.8498349503721041, 319: 0.2927671345116707, 687: 1.0, 907: 0.825895044447952}",24.0,single,f,straight,,strictly anything,socially,,graduated from college/university,white,67.0,-1.0,,doesn't have kids,likes dogs and likes cats,christianity but not too serious about it,when drinking,english,Linear Classifiers 1k/474.joblib
Elka Toni,"{99: 1.0, 113: 1.0, 116: 0.1264648696877635, 148: 0.6637089519584971, 523: 0.32808250047920984, 751: 0.9888771426274032, 824: 1.0, 910: 0.5181011262635318, 970: 0.623000406300763}",37.0,single,m,straight,athletic,mostly anything,not at all,never,working on two-year college,white,65.0,-1.0,student,,likes dogs and likes cats,atheism and laughing about it,no,english (fluently),Linear Classifiers 1k/483.joblib
Marnia Truc,"{80: 0.437517232263108, 828: 0.0, 154: 0.15710192382439647, 161: 0.5661856594991108, 474: 0.0, 795: 1.0, 684: 0.0, 81: 0.0, 68: 1.0, 766: 0.0, 165: 0.0, 486: 1.0, 751: 0.0, 310: 0.43595853926565475, 277: 0.0, 41: 0.0, 173: 0.6397101134306816, 230: 1.0, 381: 1.0, 411: 0.21197205921231332, 489: 0.0, 548: 0.0, 576: 0.0, 695: 0.7320673314223969, 1002: 1}",35.0,available,m,straight,average,mostly anything,socially,,,white,70.0,-1.0,,,,,yes,english,Linear Classifiers 1k/406.joblib
Ethel Ethban,"{58: 0.0, 5: 0.0, 660: 0.0, 250: 0.49006688387765074, 38: 1.0, 138: 0.0, 113: 0.6588147071982302, 727: 1.0, 266: 0.7383987429720218, 455: 0.4431907140909299, 329: 0.0, 198: 0.6772016962378569, 385: 0.0, 475: 0.4855744428678559, 476: 0.0, 479: 0.0, 858: 0.29883950042223617, 395: 0.0, 6: 1.0, 471: 0.0, 474: 0.2212375724914981, 937: 1.0, 302: 0.6012401117583064, 89: 1.0, 108: 1.0, 186: 0.2730679080128251, 238: 0.03999999999673953, 248: 0.27520958533474094, 294: 0.0, 301: 1.0, 328: 0.6367972517785656, 508: 0.0, 544: 0.0, 614: 0.0, 918: 0.9921031176726398}",28.0,seeing someone,m,straight,average,mostly anything,socially,never,graduated from college/university,white,72.0,40000.0,banking / financial / real estate,,likes cats,christianity and very serious about it,no,"english (fluently), sign language (poorly)",Linear Classifiers 1k/342.joblib
Gwyneth Halla,"{826: 0.0, 963: 0.0, 361: 1.0, 581: 0.0, 211: 0.4479325786706454, 298: 0.41826788126721137, 966: 1.0, 563: 0.7654230858462796, 265: 0.0, 161: 1.0, 584: 0.0, 24: 0.33339120648902476, 536: 1.0, 149: 0.0, 742: 0.0, 822: 0.9199559903627703, 591: 0.21925200606478867, 75: 0.5475969674278724, 172: 0.0, 180: 0.044224616391637106, 409: 1.0, 483: 1.0, 496: 0.0, 499: 0.7386279445187123, 664: 0.965337128232779, 766: 1.0, 842: 0.0, 907: 0.0}",24.0,single,m,straight,,,often,,,white,72.0,-1.0,entertainment / media,doesn't have kids,,other,,english,Linear Classifiers 1k/640.joblib
Valeda Beniamino,"{800: 1.0, 898: 0.10155335789447051, 214: 0.0, 391: 0.0, 80: 0.2073814780217269, 197: 0.0, 309: 0.0, 1: 0.0, 19: 0.10635220766900666, 58: 1.0, 85: 0.25963043883967707, 429: 0.0, 474: 0.0, 482: 0.5999337442009605, 503: 0.27030812974819796, 530: 0.49435250001023334, 601: 1.0, 623: 0.0, 728: 1.0, 917: 0.0, 951: 1.0}",30.0,single,f,straight,skinny,mostly anything,socially,never,graduated from high school,white,66.0,30000.0,sales / marketing / biz dev,,has dogs and likes cats,christianity but not too serious about it,no,english,Linear Classifiers 1k/959.joblib
Reeba Weaks,"{760: 0.9049353920017349, 59: 1.0, 346: 0.2813287544048415, 67: 0.5453933818516761, 132: 0.9204274658637475, 253: 0.27646707996393527, 271: 0.0, 360: 0.24405596910812455, 473: 0.4893483478773242, 539: 0.737199434181129, 541: 0.47327090828481877, 605: 0.9002819161959785, 629: 0.0, 636: 0.5646860857303382, 646: 0.037815547557844775, 670: 0.19959113480311252, 707: 0.7753274893566309}",29.0,single,f,straight,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62.0,50000.0,other,"doesn't have kids, but wants them",likes dogs and has cats,catholicism,no,english,Linear Classifiers 1k/250.joblib
Cristine Abernon,"{157: 0.0, 938: 1.0, 608: 0.0, 56: 0.5980690071649883, 66: 0.0, 272: 0.0, 389: 0.0, 443: 0.0, 595: 0.0, 664: 0.6587027720329379, 680: 0.0, 772: 0.0, 838: 0.0, 860: 0.0, 964: 0.0}",39.0,single,f,straight,fit,strictly anything,socially,,graduated from college/university,white,65.0,-1.0,medicine / health,doesn't have kids,likes dogs and has cats,atheism and laughing about it,no,"english (fluently), spanish (okay)",Linear Classifiers 1k/399.joblib
